Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Time,Location,Instructor,
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10001","Architecture (ARCH)"," 201","001","Basic Drawing","LAB","P  W","M","","W","","","","","1130-230PM","1227 A&AB","Tierman, Broderick, Smith",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10003","Architecture (ARCH)"," 202","001","Graphic Commun","LAB","P  W","M","","W","","","","","11-2PM","B100 MLB","Quinn, Alcorn",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10065","Architecture (ARCH)"," 211","001","CAD Fundamentals","LEC","P RW","M","","","","","","","1230-2PM","2104 A&AB","Bard, Tomova, Riikonen",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 211","","CAD Fundamentals","LEC","P RW","","","W","","","","","11-2PM","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45844","Architecture (ARCH)"," 212","001","Understand Arch","LEC","A   ","M","","W","","","","","10-11AM","AUD A AH","Trandafirescu",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45955","Architecture (ARCH)"," 212","002","Understand Arch","REC","P   ","","","","TH","","","","9-10AM","49 UMMA","Trandafirescu, Mattson",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45956","Architecture (ARCH)"," 212","003","Understand Arch","REC","P   ","","","","","F","","","10-11AM","1028 DANA","Trandafirescu, Hetrick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45957","Architecture (ARCH)"," 212","004","Understand Arch","REC","P   ","","","","","F","","","11-12PM","4212 SEB","Trandafirescu, Shaw",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45958","Architecture (ARCH)"," 212","005","Understand Arch","REC","P   ","","","","TH","","","","10-11AM","2225 SEB","Trandafirescu, Mattson",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45959","Architecture (ARCH)"," 212","006","Understand Arch","REC","P   ","","","","TH","","","","10-11AM","G311 DENT","Trandafirescu, Long",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45960","Architecture (ARCH)"," 212","007","Understand Arch","REC","P   ","","","","","F","","","10-11AM","706 BMT","Trandafirescu, Hetrick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45961","Architecture (ARCH)"," 212","008","Understand Arch","REC","P   ","","","","TH","","","","9-10AM","430 DENN","Trandafirescu, Mattson",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45963","Architecture (ARCH)"," 212","010","Understand Arch","REC","P   ","","","","","F","","","10-11AM","G311 DENT","Trandafirescu, Hetrick",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45964","Architecture (ARCH)"," 212","011","Understand Arch","REC","P   ","","","","","F","","","11-12PM","G580 DENT","Trandafirescu, Shaw",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10005","Architecture (ARCH)"," 218","001","Visual Studies","LAB","P  W","M","","W","","","","","8-11AM","B100 MLB","Gilpin, Stanley, Rutenberg",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50072","Architecture (ARCH)"," 218","002","Visual Studies","LAB","P   ","M","","W","","","","","2-5PM","B100 MLB","Quinn",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10007","Architecture (ARCH)"," 312","001","Arch Design I","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","Trandafirescu",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44507","Architecture (ARCH)"," 312","009","Arch Design I","LAB","P   ","","T","","","F","","","1230-630PM","3100 A&AB","Vance",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10019","Architecture (ARCH)"," 313","001","History Arch I","LEC","A   ","","T","","TH","","","","830-930AM","2104 A&AB","Soo",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","30211","Architecture (ARCH)"," 313","002","History Arch I","DIS","P R ","","","","","F","","","830-930AM","2210 A&AB","Soo, Keslacy",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10021","Architecture (ARCH)"," 313","003","History Arch I","DIS","P R ","","","","","F","","","930-1030AM","2210 A&AB","Soo, Keslacy",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10023","Architecture (ARCH)"," 313","004","History Arch I","DIS","P   ","","","","","F","","","830-930AM","2213 A&AB","Soo, Moatasim",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10025","Architecture (ARCH)"," 313","005","History Arch I","DIS","P R ","","","","","F","","","930-1030AM","2213 A&AB","Soo, Moatasim",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10027","Architecture (ARCH)"," 313","006","History Arch I","DIS","P   ","","","","","F","","","830-930AM","2222 A&AB","Soo, Kaur",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10029","Architecture (ARCH)"," 313","007","History Arch I","DIS","P R ","","","","","F","","","930-1030AM","2222 A&AB","Soo, Kaur",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","32613","Architecture (ARCH)"," 313","008","History Arch I","DIS","P R ","","","","","F","","","930-1030AM","2108 A&AB","Soo, Cramer-Greenbaum",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10031","Architecture (ARCH)"," 314","001","Structures I","LEC","A   ","M","","","","F","","","930-1030AM","2104 A&AB","von Buelow",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10033","Architecture (ARCH)"," 314","002","Structures I","REC","P R ","","","W","","","","","930-1030AM","2227 A&AB","von Buelow, Berk",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10043","Architecture (ARCH)"," 316","001","Design Fund I","LEC","A   ","","T","","TH","","","","930-1030AM","2104 A&AB","Borum",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10045","Architecture (ARCH)"," 316","002","Design Fund I","LAB","P R ","","","W","","","","","11-1230PM","1221 A&AB","Evans, Borum",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10047","Architecture (ARCH)"," 317","001","Construction I","LEC","A   ","","","","TH","","","","1130-130PM","2104 A&AB","Mankouche",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10049","Architecture (ARCH)"," 317","002","Construction I","LAB","P R ","M","","","","","","","130-530PM","3100 A&AB","Mankouche, Cooper",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44533","Architecture (ARCH)"," 317","010","Construction I","LAB","P   ","M","","","","","","","130-530PM","3100 A&AB","Jones",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10063","Architecture (ARCH)"," 400","001","Tutorl Stds in Arch","IND"," IR ","","","","","","","","ARR","ARR","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","42477","Architecture (ARCH)"," 409","001","Special Topics Arch","LEC","PIRW","","","","TH","","","","10-4PM","ARR","Marshall, Shtein, Daubmann",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44017","Architecture (ARCH)"," 409","002","Special Topics Arch","LEC","PIRW","M","","W","","","","","7-10PM","2114 A&AB","Pachikara",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH)"," 409","","Special Topics Arch","LEC","P RW","M","","W","","","","","7-10PM","2006 A&AB","",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","26141","Architecture (ARCH)"," 412","001","Arch Design I","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","Borum, Miller, Arquero De Alarcon",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","34753","Architecture (ARCH)"," 412","002","Arch Design I","LAB","P R ","","T","","","F","","","1230-630PM","3100 A&AB","",
