Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Time,Location,Instructor,Total,Seats Remaining,Has WL,
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10001","Architecture (ARCH) Open Sections"," 201","001","Basic Drawing","LAB","P  ","M","","W","","","","","1130-230PM","1227 A&AB","Tierman, Broderick, Smith","  60","  10","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10003","Architecture (ARCH) Open Sections"," 202","001","Graphic Commun","LAB","P  ","M","","W","","","","","11-2PM","B100 MLB","Quinn, Alcorn","  35","  12","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10065","Architecture (ARCH) Open Sections"," 211","001","CAD Fundamentals","LEC","P R","M","","","","","","","1230-2PM","2104 A&AB","Bard, Tomova, Riikonen","  88","  68","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","","Architecture (ARCH) Open Sections"," 211","","CAD Fundamentals","LEC","P R","","","W","","","","","11-2PM","ARR","","  88","  68","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45955","Architecture (ARCH) Open Sections"," 212","002","Understand Arch","REC","P  ","","","","TH","","","","9-10AM","49 UMMA","Trandafirescu, Mattson","  16","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45956","Architecture (ARCH) Open Sections"," 212","003","Understand Arch","REC","P  ","","","","","F","","","10-11AM","1028 DANA","Trandafirescu, Hetrick","  16","   7","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45957","Architecture (ARCH) Open Sections"," 212","004","Understand Arch","REC","P  ","","","","","F","","","11-12PM","4212 SEB","Trandafirescu, Shaw","  16","   6","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45959","Architecture (ARCH) Open Sections"," 212","006","Understand Arch","REC","P  ","","","","TH","","","","10-11AM","G311 DENT","Trandafirescu, Long","  16","   2","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45960","Architecture (ARCH) Open Sections"," 212","007","Understand Arch","REC","P  ","","","","","F","","","10-11AM","706 BMT","Trandafirescu, Hetrick","  16","  15","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45961","Architecture (ARCH) Open Sections"," 212","008","Understand Arch","REC","P  ","","","","TH","","","","9-10AM","430 DENN","Trandafirescu, Mattson","  16","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45963","Architecture (ARCH) Open Sections"," 212","010","Understand Arch","REC","P  ","","","","","F","","","10-11AM","G311 DENT","Trandafirescu, Hetrick","  16","  13","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45964","Architecture (ARCH) Open Sections"," 212","011","Understand Arch","REC","P  ","","","","","F","","","11-12PM","G580 DENT","Trandafirescu, Shaw","  16","   9","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","45844","Architecture (ARCH) Open Sections"," 212","001","Understand Arch","LEC","A  ","M","","W","","","","","10-11AM","AUD A AH","Trandafirescu"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10005","Architecture (ARCH) Open Sections"," 218","001","Visual Studies","LAB","P  ","M","","W","","","","","8-11AM","B100 MLB","Gilpin, Stanley, Rutenberg","  35","   9","Y",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","50072","Architecture (ARCH) Open Sections"," 218","002","Visual Studies","LAB","P  ","M","","W","","","","","2-5PM","B100 MLB","Quinn","  26","  10","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10007","Architecture (ARCH) Open Sections"," 312","001","Arch Design I","LAB","P R","","T","","","F","","","1230-630PM","3100 A&AB","Trandafirescu"," 150"," 137","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","44507","Architecture (ARCH) Open Sections"," 312","009","Arch Design I","LAB","P  ","","T","","","F","","","1230-630PM","3100 A&AB","Vance","  15","   3","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","30211","Architecture (ARCH) Open Sections"," 313","002","History Arch I","DIS","P R","","","","","F","","","830-930AM","2210 A&AB","Soo, Keslacy","  15","   1","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10023","Architecture (ARCH) Open Sections"," 313","004","History Arch I","DIS","P  ","","","","","F","","","830-930AM","2213 A&AB","Soo, Moatasim","  15","   5","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10027","Architecture (ARCH) Open Sections"," 313","006","History Arch I","DIS","P  ","","","","","F","","","830-930AM","2222 A&AB","Soo, Kaur","  15","   8","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10019","Architecture (ARCH) Open Sections"," 313","001","History Arch I","LEC","A  ","","T","","TH","","","","830-930AM","2104 A&AB","Soo"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10033","Architecture (ARCH) Open Sections"," 314","002","Structures I","REC","P R","","","W","","","","","930-1030AM","2227 A&AB","von Buelow, Berk"," 175"," 151","N",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10031","Architecture (ARCH) Open Sections"," 314","001","Structures I","LEC","A  ","M","","","","F","","","930-1030AM","2104 A&AB","von Buelow"," "," "," ",
"Fall 2010","Regular Academic Session","Architecture & Urban Planning","10045","Architecture (ARCH) Open Sections"," 316","002","Design Fund I","LAB","P R","","","W","","","","","11-1230PM","1221 A&AB","Evans, Borum"," 130"," 109","N",
